Category,Name,Type,Description
breakfast foods,Halwa poori,Breakfast foods,Chole bhature (Hindi: छोले भटूरे) is a food dish originating from northern India.
breakfast foods,Honey Puffs,Breakfast foods,Divisions 
breakfast foods,Huevos divorciados,Breakfast foods,"Huevos rancheros (Spanish pronunciation: [ˈweβoz ranˈtʃeɾos], ‘eggs ranch-style’) is a breakfast dish consisting of eggs served in the style of the traditional large mid-morning fare on rural Mexican farms."
breakfast foods,Huevos pericos,Breakfast foods,"In Colombian and Venezuelan cuisine, huevos pericos (English: ""parrot eggs"") refers to a dish prepared with scrambled eggs, butter, sautéed diced onions, bell pepper, and tomatoes."
dried foods,Instant breakfast,Processed foods,"Instant breakfast typically refers to breakfast food products that are manufactured in a powdered form, which are generally prepared with the addition of milk and then consumed as a drink."
breakfast foods,Soda bread,Breakfast foods,"Soda bread is a variety of quick bread traditionally made in a variety of cuisines in which sodium bicarbonate (otherwise known as ""baking soda"", or in Ireland, ""bread soda"") is used as a leavening agent instead of the traditional yeast."
breakfast foods,Jianbing,Breakfast foods,Jianbing (simplified Chinese: 煎饼; traditional Chinese: 煎餅; pinyin: jiānbǐng; lit.
breakfast foods,Jianbing guozi,Breakfast foods,"Jianbing guozi (Chinese: 煎饼馃子) or ""deep-fried dough sticks rolled in a thin pancake"" is a popular Chinese street food originating in Tianjin, and has been hailed as ""one of China's most beloved street breakfasts"",[by whom?] especially in Tianjin and neighboring Hebei province."
breakfast foods,Katogo (food),Breakfast foods,Katogo is a traditional breakfast dish in Uganda.
breakfast foods,Kiribath,Breakfast foods,Kiribath (Sinhala: කිරිබත්) is a traditional Sri Lankan dish made from rice.
breakfast foods,Kix (cereal),Breakfast foods,"Kix (stylized as KiX) is a brand of breakfast cereal introduced in 1937 by the General Mills company of Golden Valley, Minnesota."
breakfast foods,Kokosbrood,Breakfast foods,"Kokosbrood [Dutch] literally Coconut Bread, is a sandwich topping made of coconut meat which is dried, shredded, and pressed into a loaf mould."
breakfast foods,Kolache,Breakfast foods,"A kolach (also spelled kolache, kolace or kolacky /kəˈlɑːtʃi, -tʃki/,[1] from the Czech and Slovak plural koláče, sg."
breakfast foods,Kringle,Breakfast foods,"Kringle (/ˈkrɪŋɡəl/, listen (help·info)) is a Scandinavian pastry, a Nordic variety of pretzel."
breakfast foods,Kulcha,Breakfast foods,Kulcha is a type of mildly leavened flatbread that originated in the Indian subcontinent.
breakfast foods,Kulich,Breakfast foods,Kulich[a] is a Slavic Orthodox Easter bread that has its roots in Kievan Rus.
dried foods,Lefse,Dried fish and seafood,Lefse (Norwegian pronunciation: [ˈlɛ̀fsə]) is a traditional soft Norwegian flatbread.
breakfast foods,Mandoca,Breakfast foods,A mandoca is a Venezuelan deep fried cornmeal ring that is usually eaten with butter and cheese while still hot.
foods made from maple,Maple syrup,Foods made from maple,"Maple syrup is a syrup usually made from the xylem sap of sugar maple, red maple, or black maple trees, although it can also be made from other maple species."
breakfast foods,Matzah brei,Breakfast foods,"Matzah brei (Yiddish: מצה ברײַ‎; Hebrew: מצה בריי‎, matzah brei, or מצה מטוגנת‎, matzah metugenet, literally, ""fried matzah""), sometimes spelled matzah brie, matzoh brei, or matzo brei, is a dish of Ashkenazi Jewish origin made from matzah fried with eggs."
breakfast foods,Maypo,Breakfast foods,Maypo is a brand of instant maple-flavored oatmeal cereal.
breakfast foods,McGriddles,Breakfast foods,The McGriddles sandwich (colloquial singular form McGriddle) is a type of breakfast sandwich sold by the international fast food restaurant chain McDonald's.
breakfast foods,McMuffin,Breakfast foods,McMuffin is a family of breakfast sandwiches sold by the international fast food restaurant chain McDonald's.
breakfast foods,Menemen (food),Breakfast foods,"Menemen is a traditional Turkish dish[3] which includes eggs,  tomato, green peppers, and spices such as ground black and red pepper cooked in olive oil or sunflower oil."
breakfast foods,Monkey bread,Breakfast foods,"Monkey bread (also known by other names including pull-apart bread and bubble bread)[2] is a soft, sweet, sticky pastry served in the United States for breakfast or as a treat."
breakfast foods,Msemen,Breakfast foods,"M'semen or msemen (Arabic: مسمن‎ msamman, musamman), is a traditional flatbread originally from the Maghreb, common to Algeria,[1] Tunisia[2] and Morocco."
breakfast foods,Mugoyo,Breakfast foods,Mugoyo is a traditional main course dish in Uganda.
breakfast foods,Nasi goreng,Breakfast foods,"Nasi goreng (English pronunciation: /ˌnɑːsi ɡɒˈrɛŋ/), literally meaning ""fried rice"" in both the Indonesian and Malay languages,[4][5] is an Indonesian rice dish with pieces of meat and vegetables added."
breakfast foods,Oatmeal,Breakfast foods,Oatmeal is a type of coarse flour made of hulled oat grains (groats) that have either been milled (ground) or steel-cut.
breakfast foods,Ontbijtkoek,Breakfast foods,An ontbijtkoek (literally translated breakfast cake) or peperkoek (pepper cake) is a Dutch and Flemish spiced cake.
breakfast foods,Ox-tongue pastry,Breakfast foods,"Ox-tongue pastry (Chinese: 牛脷酥; pinyin: niúlìsū; Jyutping: ngau4 lei 6 sou1) or horse-ear pastry (Chinese: 马耳; pinyin: mǎěr), also referred to as Chinese Doughnut, is a Chinese pastry that is popular in south China in the provinces of Guangdong and Fujian."
breakfast foods,Palm syrup,Breakfast foods,Miel de palma (lit.
breakfast foods,Pan de yuca,Breakfast foods,Pan de yuca (Spanish for Cassava bread) is a type of bread made of cassava starch and cheese typical of southern Colombia.
breakfast foods,Pandebono,Breakfast foods,"Pandebono or pan de bono is a type of Colombian bread made of cassava starch, cheese, eggs and in some regions of the country they put a guava jam."
breakfast foods,Pandesal,Breakfast foods,"Pandesal or pan de sal (Filipino and Spanish for ""salt bread""),[1] is a common bread roll in the Philippines."
breakfast foods,Perico (dish),Breakfast foods,"In Colombian and Venezuelan cuisine, huevos pericos (English: ""parrot eggs"") refers to a dish prepared with scrambled eggs, butter, sautéed diced onions, bell pepper, and tomatoes."
breakfast foods,Phitti,Breakfast foods,"Phitti is a type of leavened bread baked by Hunzakut People of Hunza, Gilgit-Baltistan, Pakistan."
breakfast foods,Pisca Andina,Breakfast foods,"Venezuelan cuisine is influenced by its European[1] (Italian, Spanish, Portuguese, and French), West African, and Native American traditions."
breakfast foods,Popover,Breakfast foods,"A popover is a light roll made from an egg batter similar to that of Yorkshire pudding, typically baked in muffin tins or dedicated popover pans, which have straight-walled sides rather than angled."
breakfast foods,Pork roll,Breakfast foods,"Pork roll [1][2] is a pork-based processed meat commonly available in New Jersey, Delaware, and parts of New York, Pennsylvania and Maryland."
breakfast foods,Potato cake,Breakfast foods,A potato cake is usually made from deep-fried potatoes that have been thinly sliced or mashed.
breakfast foods,Potato scone,Breakfast foods,A potato scone or tattie scone (tottie scone in some parts of Scotland[1]) is a regional variant of the savoury griddle scone which is especially popular in Scotland.
breakfast foods,Protein bar,Breakfast foods,Protein bars are nutrition bars that contain a high proportion of protein to carbohydrates/fats.
breakfast foods,Raisin Bran,Breakfast foods,Raisin bran (sultana bran in some countries[1]) is a breakfast cereal containing raisins and bran flakes.
breakfast foods,Reindeer,Breakfast foods,"Cervus tarandus Linnaeus, 1758"
breakfast foods,Rolled oats,Breakfast foods,Rolled oats are a type of lightly processed whole-grain food.
breakfast foods,Roti canai,Breakfast foods,"Roti canai (pronunciation: /tʃanaɪ/), or roti chenai,[9] also known as roti cane (/tʃane/) and roti prata, is an Indian-influenced flatbread dish found in several countries in Southeast Asia, including Brunei, Indonesia, Malaysia and Singapore."
breakfast foods,Roti prata,Breakfast foods,"Roti canai (pronunciation: /tʃanaɪ/), or roti chenai,[9] also known as roti cane (/tʃane/) and roti prata, is an Indian-influenced flatbread dish found in several countries in Southeast Asia, including Brunei, Indonesia, Malaysia and Singapore."
breakfast foods,Sabaayad,Breakfast foods,"Sabayad, also known as Kimis, is a type of flatbread eaten in Somalia and Djibouti."
breakfast foods,Salmon (food),Breakfast foods,Salmon is a common food fish classified as an oily fish[1] with a rich content of protein and omega-3 fatty acids.
breakfast foods,Scone,Breakfast foods,"A scone (/skoʊn/, also UK: /skɒn/) is a baked good, usually made of wheat, or oatmeal with baking powder as a leavening agent and baked on sheet pans."
breakfast foods,Shaobing,Breakfast foods,"Shaobing (pinyin: shāobǐng; Wade–Giles: shao-ping), also called huoshao, is a type of baked, unleavened, layered flatbread in Northern Chinese cuisine."
breakfast foods,Shrimp and grits,Breakfast foods,Shrimp and grits is a traditional dish in the Lowcountry of the coastal Carolinas and Georgia.
breakfast foods,Silog,Breakfast foods,"Silog is a class of Filipino breakfast dishes containing sinangag (fried rice) and itlog (egg; in context, fried egg)."
breakfast foods,Simit,Breakfast foods,"Simit is a circular bread, typically encrusted with sesame seeds or, less commonly, poppy, flax or sunflower seeds, found across the cuisines of the former Ottoman Empire, and the Middle East."
breakfast foods,Sizzlean,Breakfast foods,Sizzlean was a cured meat product manufactured throughout the 1970s and 1980s and marketed as a healthier alternative to bacon.
breakfast foods,Slinger (dish),Breakfast foods,"A slinger is an American Midwest diner specialty typically consisting of two eggs, hash browns, and a ground beef (or other type of meat) patty, all covered in chili con carne (with or without beans) and generously topped with cheese (cheddar or American) and onions."
breakfast foods,Sopapillas,Breakfast foods,"A sopaipilla, sopapilla, sopaipa, or cachanga[1] is a kind of fried pastry and a type of quick bread served in several regions with Spanish heritage in the Americas."
breakfast foods,Strudel,Breakfast foods,"A strudel (/ˈstruːdəl/, German: [ˈʃtʁuːdl̩]) is a type of layered pastry with a filling that is usually sweet."
breakfast foods,Suhur,Breakfast foods,"Sahūr or Suhoor (UK: /səˈhɜːr/;[1] Arabic: سحور‎, romanized: suḥūr, lit."
breakfast foods,Tamago kake gohan,Breakfast foods,"Tamago kake gohan (卵かけご飯, ""egg on rice""; also abbreviated as the Latin letters TKG) is a popular Japanese breakfast food consisting of cooked Japanese rice topped or mixed with raw egg and soy sauce."
foods named after places,Texas toast,United States,"Texas toast is a toasted bread with butter, and often garlic, that is often made from a type of packaged bread that has been sliced at double the average thickness of most sliced breads."
breakfast foods,Throdkin,Breakfast foods,"Throdkin is a traditional breakfast food of the Fylde, Lancashire, England."
breakfast foods,Tian mo,Breakfast foods,Tian mo (甜沫) is a traditional breakfast soup from the city of Jinan in the Shandong province of China.
breakfast foods,Toast,Breakfast foods,Toast is bread that has been browned by exposure to radiant heat.
breakfast foods,Tripe,Breakfast foods,Tripe  is a type of edible lining from the stomachs of various farm animals.
foods named after places,Viennoiserie,Central Europe,"Viennoiseries (French pronunciation: ​[vjɛnwazʁi], ""things of Vienna"") are baked goods made from a yeast-leavened dough in a manner similar to bread, or from puff pastry, but with added ingredients (particularly eggs, butter, milk, cream and sugar) giving them a richer, sweeter character, approaching that of pastry."
breakfast foods,Water biscuit,Breakfast foods,A water biscuit or water cracker is a type of biscuit or cracker.
pickled foods,Acar,Pickled foods,"Acar is a type of vegetable pickle of Maritime Southeast Asia, most prevalent in Indonesia,[5] Malaysia, Singapore and Brunei."
pickled foods,South Asian pickles,Pickled foods,"A South Asian pickle, known as achar, aachar, athanu, achaar or loncha, is a pickled food, native to the Indian subcontinent, made from a variety of vegetables and fruits, preserved in brine, vinegar, or edible oils along with various Indian spices."
pickled foods,Allium chinense,Pickled foods,"Allium chinense (also known as Chinese onion,[3][4] Chinese scallion,[3] glittering chive,[5] Japanese scallion,[3] Kiangsi scallion,[4] and Oriental onion[3]) is an edible species of Allium, native to China,[3] and cultivated in many other countries."
pickled foods,Amba (condiment),Pickled foods,"Amba or anba (Arabic: عنبة‎, but also mis-spelled عمبة, أمبة, همبة, Hebrew: עמבה‎) is a tangy mango pickle condiment of Iraqi-Jewish and Kurdish-Jewish origin, that is also popular in Israeli cuisine."
pickled foods,Artichoke,Pickled foods,The globe artichoke (Cynara cardunculus var.
pickled foods,Asazuke,Pickled foods,Asazuke (浅漬け) (literally: shallow pickling) is a Japanese pickling method characterized by its short preparation time.
pickled foods,Asinan,Pickled foods,"Asinan is a pickled (through brined or vinegared) vegetable or fruit dish, commonly found in Indonesia."
pickled foods,Atchara,Pickled foods,"Atchara (also spelled achara or atsara), is a pickle made from grated unripe papaya popular in the Philippines."
pickled foods,Beetroot,Pickled foods,"The beetroot is the taproot portion of a beet plant,[1] usually known in Canada and the USA as beets while the vegetable is referred to as beetroot in British English, and also known as the table beet, garden beet, red beet, dinner beet or golden beet."
pickled foods,Pickled beet egg,Pickled foods,"Pickled beet eggs are hard boiled eggs that are cured in a brine of beets, beet juice, vinegar, sugar, cloves and other spices."
pickled foods,Beni shōga,Pickled foods,Beni shōga (紅生姜) is a type of tsukemono (Japanese pickle).
pickled foods,Bettarazuke,Pickled foods,"Bettarazuke (べったら漬) is a type of pickled daikon popular in Tokyo, a sort of tsukemono."
pickled foods,Bostongurka,Pickled foods,"Bostongurka (Swedish meaning ""Boston cucumber"") is a type of relish with pickled gherkins,[1] red bell pepper and onion  with spices such as  mustard seeds."
pickled foods,Branston (brand),Pickled foods,"Branston is an English food brand best known for the original Branston Pickle, a jarred pickled chutney first made in 1922 in the village of Branston near Burton upon Trent, Staffordshire by Crosse & Blackwell."
pickled foods,Caper,Pickled foods,"Capparis spinosa, the caper bush, also called Flinders rose,[2] is a perennial plant that bears rounded, fleshy leaves and large white to pinkish-white flowers."
pickled foods,Pickled carrot,Pickled foods,"A pickled carrot is a carrot that has been pickled in a brine, vinegar, or other solution and left to ferment for a period of time, by either immersing the carrots in an acidic solution or through souring by lacto-fermentation."
pickled foods,Chhundo,Pickled foods,"Chhundo (Gujarati:  છૂંદો, Hindi:  छुन्दो)  is a kind of Indian pickle preparation as well as a condiment mostly made out of grated green mangoes, used in cuisine of the Indian subcontinent as an accompaniment to the main meal that consists of Roti, Sabzi and other food items."
pickled foods,Chanh muối,Pickled foods,"Chanh muối is a salted, pickled lime in Vietnamese cuisine."
pickled foods,Chinese pickles,Pickled foods,"Chinese pickles or Chinese preserved vegetables consist of various vegetables or fruits that have been fermented by pickling with salt and brine (simplified Chinese: 咸菜; traditional Chinese: 鹹菜; pinyin: Xiáncài), or marinated in mixtures based on soy sauce or savory bean pastes (酱菜; 醬菜; jiàngcài)."
pickled foods,Chow-chow (food),Pickled foods,Chow-chow (also spelled chowchow or chow chow) is a North American pickled relish.
pickled foods,Cockle (bivalve),Pickled foods,Lymnocardiidae
pickled foods,Corned beef,Pickled foods,Corned beef is salt-cured brisket of beef.
pickled foods,Crab meat,Pickled foods,Crab meat or crabmeat is the meat found within a crab.
pickled foods,Cucumber soup,Pickled foods,Cucumber soup is a traditional Polish and Lithuanian soup (Polish: (Zupa ogórkowa (help·info) sometimes simply ogórkowa).
pickled foods,Cueritos,Pickled foods,"Cuerito is pig skin (pork rind) from Mexican cuisine, Venezuelan cuisine and Spanish cuisine."
pickled foods,Pickled egg,Pickled foods,Pickled eggs are typically hard boiled eggs that are cured in vinegar or brine.
pickled foods,Fukujinzuke,Pickled foods,"Fukujinzuke (福神漬) is a condiment in Japanese cuisine, commonly used as relish for Japanese curry."
pickled foods,Gari (ginger),Pickled foods,Gari (ガリ) is a type of tsukemono (Japanese pickled vegetables).
pickled foods,Giardiniera,Pickled foods,"Giardiniera (/dʒɑːrdɪˈnjɛərə/,[1] Italian: [dʒardiˈnjɛːra]) is an Italian relish of pickled vegetables in vinegar or oil."
pickled foods,Ginger pickle,Pickled foods,"Ginger pickle is a very popular pickle in Andhra Pradesh, India."
pickled foods,Jujube,Pickled foods,"Ziziphus jujuba, commonly called jujube[2] (/ˈdʒuːdʒuːb/; sometimes jujuba), red date, Chinese date,[2] is a species in the genus of Ziziphus (some of whose other species are also sometimes referred to as jujube), in the buckthorn family (Rhamnaceae)."
pickled foods,Karashizuke,Pickled foods,Karashizuke (からし漬け) is a type of pickled vegetable in Japan.
pickled foods,Kasuzuke,Pickled foods,"Kasuzuke (粕漬け), also kasu-zuke, is a Japanese dish made by pickling fish or vegetables in the lees (residual yeast and other precipitates) of sake, known as sake kasu."
pickled foods,Baek-kimchi,Pickled foods,Baek-kimchi[1] (백김치) or white kimchi[1] is a variety of kimchi made without the chili pepper powder commonly used for fermenting kimchi in Korean cuisine.
pickled foods,Dongchimi,Pickled foods,"Dongchimi is a variety of kimchi consisting of Korean radish, napa cabbage, scallions, pickled green chilli, ginger, Korean pear and watery brine in Korean cuisine."
pickled foods,Kkakdugi,Pickled foods,Kkakdugi (깍두기) or diced radish kimchi is a variety of kimchi in Korean cuisine.
pickled foods,Nabak-kimchi,Pickled foods,"Nabak-kimchi[1] (나박김치) is a watery kimchi, similar to dongchimi, in Korean cuisine."
pickled foods,Yeolmu-kimchi,Pickled foods,"Yeolmu-kimchi[1] (열무김치) or young summer radish kimchi[1] is one of the many types of Kimchi, a popular banchan (Korean: 반찬, Korean side dish)."
pickled foods,Lahpet,Pickled foods,"Lahpet, also spelled laphat, laphet, lephet, leppet, or letpet in English (Burmese: လက်ဖက်; MLCTS: lak hpak, pronounced [ləpʰɛʔ]), is Burmese for fermented or pickled tea."
pickled foods,Pickled lime,Pickled foods,Pickled lime is a food that involves the pickling of limes to preserve them and add flavor.[1][2]
pickled foods,Mango pickle,Pickled foods,A mango pickle is a variety of pickle prepared using mango.
pickled foods,Matsumaezuke,Pickled foods,"Matsumaezuke (松前漬け) is a pickled dish native to Matsumae, Hokkaidō area of Hokkaidō, Japan."
pickled foods,Meigan cai,Pickled foods,Meigan cai (simplified Chinese: 梅干菜; traditional Chinese: 梅乾菜; pinyin: méigān cài; Wade–Giles: mei2-kan1 ts'ai4; lit.
pickled foods,Mixed pickle,Pickled foods,Mixed pickles are pickles made from a variety of vegetables mixed in the same pickling process.
pickled foods,Mohnyin tjin,Pickled foods,"Mohnyin Tjin, (မုန်ညင်းချဉ် [mòʊɴɲɪ́ɴ dʑɪ̀ɴ]; also Mon Nyin Jin, Mohn-hnyin Gyin) is a popular Burmese cuisine fermented food dish of vegetables preserved in rice wine and various seasonings."
pickled foods,Murături,Pickled foods,"Murături (Romanian for pickles) are vegetables or fruit pickled in brine or vinegar, as found in the cuisines of Romania and Moldova."
pickled foods,Mussel,Pickled foods,Pteriomorphia (marine mussels)Palaeoheterodonta (freshwater mussels)Heterodonta (zebra mussels)
pickled foods,Pickled mustard,Pickled foods,Pickled mustard is a popular dish in Hmong cuisine.
pickled foods,Nem,Pickled foods,"Nem (Vietnamese: món nem) refers to various dishes in Vietnamese, depending on the locality."
pickled foods,Nozawana,Pickled foods,"Nozawana (野沢菜, Brassica rapa L."
pickled foods,Nukazuke,Pickled foods,"Nukazuke (糠漬け) is a type of Japanese preserved food, made by fermenting vegetables in rice bran (nuka), developed in the 17th century."
pickled foods,Peppadew,Pickled foods,Peppadew is a trademarked brand name of South African food company Peppadew International (Pty) Ltd.
pickled foods,Piccalilli,Pickled foods,"Piccalilli, or mustard pickle, is a British[1] interpretation of South Asian pickles, a relish[2][3] of chopped, pickled, vegetables and spices."
pickled foods,Pickled pepper,Pickled foods,"A pickled pepper is a Capsicum pepper preserved by pickling, which usually involves submersion in a brine of vinegar and salted water with herbs and spices, including peppercorns, coriander, dill, and bay leaf."
pickled foods,Pickled radish,Pickled foods,"Pickled radish, called yan luo bo (腌萝卜, ""pickled radish"") in Chinese, dongchimi (동치미, ""pickled radish"") in Korean,[1][2] is a radish dish served and eaten with ramen, rice noodle, congee, or Korean fried chicken."
pickled foods,Pickling salt,Pickled foods,Pickling salt is a salt that is used mainly for canning and manufacturing pickles.
pickled foods,Prawn,Pickled foods,"Prawn is a common name for small aquatic crustaceans with an exoskeleton and ten legs (which is a member of the order decapoda), some of which can be eaten."
dried foods,Prune,Dried fruit,"A prune is a dried plum of any cultivar, mostly the European plum (Prunus domestica)."
pickled foods,Relish,Pickled foods,"A relish is a cooked and pickled product made of chopped vegetables, fruits, pickles or herbs and is a food item typically used as a condiment or as a salsa to enhance a staple."
pickled foods,Radish,Pickled foods,The radish (Raphanus raphanistrum subsp.
pickled foods,Salt-cured meat,Pickled foods,Salt-cured meat or salted meat is meat or fish preserved or cured with salt.
pickled foods,Salt pork,Pickled foods,Salt pork is salt-cured pork.
pickled foods,Whole sour cabbage,Pickled foods,"Whole sour cabbage (Serbo-Croatian: Kiseli kupus u glavicama, literally: ""cabbage soured in heads"")[1] is a fermented vegetable food preserve,  popular in Romanian, Hungarian, Bosnian, Croatian, Serbian, Macedonian and Bulgarian cuisines."
pickled foods,Spreewald gherkins,Pickled foods,"Spreewald gherkins (German: Spreewälder Gurken or Spreewaldgurken) are a specialty pickled cucumber from Brandenburg, which are protected by the EU as a Protected Geographical Indication (PGI)."
pickled foods,Torshi,Pickled foods,Torshi are the pickled vegetables of many Middle Eastern and Balkan cuisines.
pickled foods,Pickled walnuts,Pickled foods,"Pickled walnuts are a traditional English pickle, made from walnuts."
pickled foods,Whelk,Pickled foods,Whelk (also known as scungilli)[1] is a common name that is applied to various kinds of sea snail.
pickled foods,Zha cai,Pickled foods,"Zha cai ([ʈʂâ tsʰâi]; 榨菜) is a type of pickled mustard plant stem originating from Chongqing, China."
foods with religious symbolism,St Agatha's Breasts,,"Cassatella di sant'Agata (Sicilian: minnuzzi di sant'Àjita ""Saint Agatha's breasts"" or minni di virgini ""virgin's breasts""), also known as cassatina siciliana, is a traditional Sicilian pastry from Catania made during the Festival of Saint Agatha."
foods with religious symbolism,Cattern cake,,"Saint Catherine's Day, also called the Feast of Saint Catherine, is 25 November."
foods with religious symbolism,Tsoureki,,"Tsoureki (Greek: τσουρέκι) also known as شوريك (Arabic), choreg or ""chorek"" (Armenian չորեկ), çörək (Azerbaijani), çyrek (Albanian), kozunak (Bulgarian козунак), cozonac (Romanian) or paskalya çöreği (Turkish) is a sweet holiday bread made with flour, milk, butter and sugar and commonly seasoned with orange zest, mastic resin or mahlab."
foods with religious symbolism,Easter biscuit,,"Easter biscuits are a traditional[citation needed] British cuisine gift, given to guests on Easter Sunday."
foods with religious symbolism,Easter egg,,"Easter eggs, also called Paschal eggs,[1] are eggs that are sometimes decorated."
foods with religious symbolism,Galette des rois,,A king cake is a cake associated in many countries with Epiphany.
foods with religious symbolism,Hot cross bun,,"A hot cross bun is a spiced sweet bun usually made with fruit, marked with a cross on the top, and traditionally eaten on Good Friday in the United Kingdom; Ireland; Australia; India; New Zealand; South Africa; and some parts of the Americas, including Canada and the United States."
foods with religious symbolism,Koulourakia,,"Koulourakia (Greek: κουλουράκια, IPA: [kuluˈraca]; singular: κουλουράκι) are a traditional Greek dessert, typically made around Easter[1] to be eaten after Holy Saturday."
foods with religious symbolism,Lampropsomo,,"Tsoureki (Greek: τσουρέκι) also known as شوريك (Arabic), choreg or ""chorek"" (Armenian չորեկ), çörək (Azerbaijani), çyrek (Albanian), kozunak (Bulgarian козунак), cozonac (Romanian) or paskalya çöreği (Turkish) is a sweet holiday bread made with flour, milk, butter and sugar and commonly seasoned with orange zest, mastic resin or mahlab."
foods with religious symbolism,St. Lucia buns,,"A saffron bun, Cornish tea treat bun or revel bun, is a rich, spiced yeast-leavened sweet bun that is flavoured with saffron and contains dried fruit including currants and raisins similar to a teacake."
foods with religious symbolism,Michaelmas,,"Michaelmas (/ˈmɪkəlməs/ MIK-əl-məs; also known as the Feast of Saints Michael, Gabriel, and Raphael, the Feast of the Archangels, or the Feast of Saint Michael and All Angels, Irish: Fómhar na nGéanna) is a Christian festival observed in some Western  liturgical calendars on 29 September."
foods with religious symbolism,Pancakes,,"A pancake (or hotcake, griddlecake, or flapjack, not to be confused with oat bar flapjacks) is a flat cake, often thin and round, prepared from a starch-based batter that may contain eggs, milk and butter and cooked on a hot surface such as a griddle or frying pan, often frying with oil or butter."
foods with religious symbolism,Paska (bread),,"Paska (Ukrainian: пáска, romanized: páska, literally: ""Easter"", Georgian: პასკა, romanized: paska, literally: ""Easter"", ultimately from Aramaic: פסחא‎, romanized: ?, literally: ""Passover"")[1] is a Ukrainian[2][3][4][5] Easter bread tradition and particularly spread in countries with predominant Eastern Orthodox religious or cultural connections to the ancient Byzantine Empire."
foods with religious symbolism,Religieuse,,"Religieuse is a French pastry made of two choux pastry cases, one larger than the other, filled with crème pâtissière, most commonly chocolate or mocha."
foods with religious symbolism,Soul cake,,"A soul cake, also known as a soulmass-cake, is a small round cake which is traditionally made for Halloween, All Saints' Day and All Souls' Day to commemorate the dead in the Christian tradition."
foods with religious symbolism,Stollen,,"Stollen (German pronunciation: [ˈʃtɔlən] (listen) or [ʃtɔln] (listen)) is a fruit bread of nuts, spices, and dried or candied fruit, coated with powdered sugar or icing sugar and often containing marzipan."
foods with religious symbolism,Święconka,,"Święconka (pronounced Shfen-tsonka [ɕfʲɛnˈtsɔnka]), meaning ""the blessing of the Easter baskets"", is one of the most enduring and beloved Polish traditions on Holy Saturday during Easter."
foods with religious symbolism,Vasilopita,,"Vasilopita (Greek: Βασιλόπιτα, Vasilópita, lit."
foods with religious symbolism,Ghevar,,Ghevar (Devanagari:घेवर) is a Rajasthani cuisine sweet[1] traditionally associated with the Teej Festival.
foods with religious symbolism,Date (fruit),,"Phoenix dactylifera, commonly known as date or date palm,[2] is a flowering plant species in the palm family, Arecaceae, cultivated for its edible sweet fruit."
foods with religious symbolism,Ketupat,,"Ketupat (in Indonesian and Malay), kupat (in Javanese and Sundanese) or tipat (in Balinese)[4] is a rice cake packed inside a diamond-shaped container of woven palm leaf pouch,[5] originating in Indonesia."
foods with religious symbolism,Tumpeng,,Tumpeng is an Indonesian cone-shaped rice dish with side dishes of vegetables and meat originating from Javanese cuisine of Indonesia.
foods with religious symbolism,Sufganiyah,,"Sufganiyah (Hebrew: סופגנייה or סופגניה‎ [ˌsufɡaniˈja]; plural: sufganiyot, Hebrew: סופגניות‎ [ˌsufɡaniˈjot]) is a round jelly doughnut eaten in Israel and around the world on the Jewish festival of Hanukkah."
foods with religious symbolism,Charoset,,"Charoset, haroset, or charoises (Hebrew: חֲרֽוֹסֶת‎ [ḥărōset]) is a sweet, dark-colored paste made of fruits and nuts eaten at the Passover Seder."
foods with religious symbolism,Etrog,,"Etrog (Hebrew: אֶתְרוֹג‎, plural: etrogim; Ashkenazi Hebrew: esrog, plural: esrogim) is the yellow citron or Citrus medica used by Jews during the week-long holiday of Sukkot as one of the four species."
foods with religious symbolism,Hamantash,,A hamantash (pl.
foods with religious symbolism,Latkes,,"A latke (Yiddish: לאַטקע‎; sometimes romanized latka, lit."
foods with religious symbolism,Maror,,"Maror (Hebrew: מָרוֹר‎ mārôr) refers to the bitter herbs eaten at the Passover Seder in keeping with the biblical commandment  ""with bitter herbs they shall eat it."
foods with religious symbolism,Matzo,,"Matzo, matzah, or matza (Yiddish: מצה‎ matsoh, Hebrew: מַצָּה‎ matsa; plural matzot; matzos of Ashkenazi Jewish dialect) is an unleavened flatbread that is part of Jewish cuisine and forms an integral element of the Passover festival, during which chametz (leaven and five grains that, per Jewish Law, can be leavened) is forbidden."
foods with religious symbolism,Kosher wine,,"Kosher wine (Hebrew: יין כשר, yayin kashér) is grape wine produced according to Judaism's religious law, specifically, Jewish dietary laws (kashrut)."
instant foods,Pablum,Instant foods,Pablum is a processed cereal for infants originally marketed and co-created by the Mead Johnson Company in 1931.
instant foods,Bird's Custard,Instant foods,"Bird's Custard is the brand name for the original powdered, egg-free imitation custard powder, now owned by Premier Foods."
instant foods,Camping food,Instant foods,Backcountry camping food includes ingredients used to prepare food suitable for backcountry camping and backpacking.
instant foods,Condensed soup,Instant foods,"Soup is a primarily liquid food, generally served warm or hot (but may be cool or cold), that is made by combining ingredients of meat or vegetables with stock, or water."
dried foods,Powdered eggs,Processed foods,Powdered eggs are fully dehydrated eggs.
dried foods,Instant mashed potatoes,Dried vegetables,"Instant mashed potatoes are potatoes that have been through an industrial process of cooking, mashing and dehydrating to yield a packaged convenience food that can be reconstituted by adding hot water or milk, producing an approximation of mashed potatoes."
instant foods,Smash (instant mashed potato),Instant foods,Smash is a brand of Instant mashed potatoes in the United Kingdom.
